company_name,cik,filing_date,exec_name,name,current_role,age,compensation_salary,compensation_stock,compensation_bonus,compensation_other,compensation_total,compensation_year,education,start_date,past_roles,board_member,committee_memberships,other_board_memberships,notable_achievements
Alphabet Inc.,0001652044,2020-04-24,Sundar Pichai,Sundar Pichai,"Chief Executive Officer, Alphabet and Google",49,,,,,,2021,"[{'degree': 'Bachelor of Technology', 'field': None, 'university': 'Indian Institute of Technology Kharagpur', 'year': None}, {'degree': 'Master of Science', 'field': None, 'university': 'Stanford University', 'year': None}, {'degree': 'Master of Business Administration', 'field': None, 'university': 'The Wharton School of the University of Pennsylvania', 'year': None}]",2004,"['Senior Vice President of Products', 'Senior Vice President of Android, Chrome and Apps']",True,['Executive Committee'],[],
Alphabet Inc.,0001652044,2020-04-24,Ruth M. Porat,Ruth M. Porat,"Chief Financial Officer, Alphabet and Google",64,,,,,,2021,"[{'degree': 'Bachelor of Arts', 'field': None, 'university': 'Stanford University', 'year': None}, {'degree': 'Master of Science', 'field': None, 'university': 'The London School of Economics', 'year': None}, {'degree': 'Master of Business Administration', 'field': None, 'university': 'The Wharton School of the University of Pennsylvania', 'year': None}]",2015,"['Executive Vice President and Chief Financial Officer of Morgan Stanley', 'Vice Chairman of Investment Banking']",True,[],['Blackstone Inc.'],
Alphabet Inc.,0001652044,2020-04-24,Prabhakar Raghavan,Prabhakar Raghavan,"Senior Vice President, Knowledge and Information, Google",61,,,,,,2021,"[{'degree': 'Bachelor of Technology', 'field': None, 'university': 'Indian Institute of Technology Madras', 'year': None}, {'degree': 'Doctoral degree', 'field': 'Electrical Engineering and Computer Science', 'university': 'University of California, Berkeley', 'year': None}]",2012,"['Senior Vice President, Ads', 'Vice President, Apps']",False,[],[],
Alphabet Inc.,0001652044,2020-04-24,Philipp Schindler,Philipp Schindler,"Senior Vice President, Chief Business Officer, Google",51,,,,,,2021,"[{'degree': 'Diplom Kaufmann', 'field': 'Business Administration and Management', 'university': 'European Business School in Oestrich-Winkel, Germany', 'year': None}]",2005,"['Vice President of Global Sales and Operations', 'President for Northern and Central Europe']",False,[],[],
Alphabet Inc.,0001652044,2020-04-24,Kent Walker,Kent Walker,"President, Global Affairs, and Chief Legal Officer, Alphabet and Google; Corporate Secretary, Alphabet",61,,,,,,2021,"[{'degree': 'Bachelor of Arts', 'field': 'Social Studies', 'university': 'Harvard University', 'year': None}, {'degree': 'Juris Doctor', 'field': None, 'university': 'Stanford Law School', 'year': None}]",2006,"['Senior Vice President, Global Affairs and Chief Legal Officer of Google']",False,[],[],
Alphabet Inc.,0001652044,2019-04-30,Sundar Pichai,Sundar Pichai,"Chief Executive Officer, Alphabet and Google",49,,,,,,2021,"[{'degree': 'Bachelor of Technology', 'field': None, 'university': 'Indian Institute of Technology Kharagpur', 'year': None}, {'degree': 'Master of Science', 'field': None, 'university': 'Stanford University', 'year': None}, {'degree': 'Master of Business Administration', 'field': None, 'university': 'The Wharton School of the University of Pennsylvania', 'year': None}]",2004,"['Senior Vice President of Products', 'Senior Vice President of Android, Chrome and Apps']",True,['Executive Committee'],['The Pichai Family Foundation'],
Alphabet Inc.,0001652044,2019-04-30,Ruth M. Porat,Ruth M. Porat,"Chief Financial Officer, Alphabet and Google",64,,,,,,2021,"[{'degree': 'Bachelor of Arts', 'field': None, 'university': 'Stanford University', 'year': None}, {'degree': 'Master of Science', 'field': None, 'university': 'The London School of Economics', 'year': None}, {'degree': 'Master of Business Administration', 'field': None, 'university': 'The Wharton School of the University of Pennsylvania', 'year': None}]",2015,"['Executive Vice President and Chief Financial Officer of Morgan Stanley', 'Vice Chairman of Investment Banking']",True,[],"['Blackstone Inc.', 'Council on Foreign Relations', 'Memorial Sloan Kettering Cancer Center', 'Stanford Management Company', 'Verily Life Sciences']",
Alphabet Inc.,0001652044,2019-04-30,Prabhakar Raghavan,Prabhakar Raghavan,"Senior Vice President, Knowledge and Information, Google",61,,,,,,2021,"[{'degree': 'Bachelor of Technology', 'field': None, 'university': 'Indian Institute of Technology Madras', 'year': None}, {'degree': 'Doctoral degree', 'field': 'Electrical Engineering and Computer Science', 'university': 'University of California, Berkeley', 'year': None}]",2012,"['Senior Vice President, Ads', 'Vice President, Apps']",False,[],[],
Alphabet Inc.,0001652044,2019-04-30,Philipp Schindler,Philipp Schindler,"Senior Vice President, Chief Business Officer, Google",51,,,,,,2021,"[{'degree': 'Diplom Kaufmann', 'field': 'Business Administration and Management', 'university': 'European Business School in Oestrich-Winkel, Germany', 'year': None}]",2005,"['Vice President of Global Sales and Operations', 'President for Northern and Central Europe', 'Managing Director, Germany, Switzerland, Austria and Nordics']",False,[],[],
Alphabet Inc.,0001652044,2019-04-30,Kent Walker,Kent Walker,"President, Global Affairs, and Chief Legal Officer, Alphabet and Google; Corporate Secretary, Alphabet",61,,,,,,2021,"[{'degree': 'Bachelor of Arts', 'field': 'Social Studies', 'university': 'Harvard University', 'year': None}, {'degree': 'Juris Doctor', 'field': None, 'university': 'Stanford Law School', 'year': None}]",2006,"['Senior Vice President, Global Affairs and Chief Legal Officer of Google', 'Assistant U.S. Attorney in San Francisco and Washington D.C.']",False,[],"['Board of Overseers, Harvard University']",
Amcor plc,0001748790,2022-09-27,Ronald Delia,Ronald Delia,Chief Executive Officer,,,,,,,2022,[],,[],,[],[],
Amcor plc,0001748790,2022-09-27,Michael Casamento,Michael Casamento,"Executive Vice President, Finance and Chief Financial Officer",,,,,,,2022,[],,[],,[],[],
Amcor plc,0001748790,2022-09-27,Eric Roegner,Eric Roegner,"President, Amcor Rigid Packaging",,,,,,,2022,[],,[],,[],[],
Amcor plc,0001748790,2022-09-27,L. Frederick Stephan,L. Frederick Stephan,"President, Amcor Flexibles North America",,,,,,,2022,[],,[],,[],[],
Amcor plc,0001748790,2022-09-27,Michael Zacka,Michael Zacka,"President, Amcor Flexibles Europe, Middle East & Africa",,,,,,,2022,[],,[],,[],[],
Amcor plc,0001748790,2021-09-29,Ronald Delia,Ronald Delia,Chief Executive Officer,,,,,,,2022,[],,[],,[],[],
Amcor plc,0001748790,2021-09-29,Michael Casamento,Michael Casamento,"Executive Vice President, Finance and Chief Financial Officer",,,,,,,2022,[],,[],,[],[],
Amcor plc,0001748790,2021-09-29,Eric Roegner,Eric Roegner,"President, Amcor Rigid Packaging",,,,,,,2022,[],,[],,[],[],
Amcor plc,0001748790,2021-09-29,L. Frederick Stephan,L. Frederick Stephan,"President, Amcor Flexibles North America",,,,,,,2022,[],,[],,[],[],
Amcor plc,0001748790,2021-09-29,Michael Zacka,Michael Zacka,"President, Amcor Flexibles Europe, Middle East & Africa",,,,,,,2022,[],,[],,[],[],
Amcor plc,0001748790,2020-09-23,Ronald Delia,Ronald Delia,Chief Executive Officer,,,,,,,2022,[],,[],,[],[],
Amcor plc,0001748790,2020-09-23,Michael Casamento,Michael Casamento,"Executive Vice President, Finance and Chief Financial Officer",,,,,,,2022,[],,[],,[],[],
Amcor plc,0001748790,2020-09-23,Eric Roegner,Eric Roegner,"President, Amcor Rigid Packaging",,,,,,,2022,[],,[],,[],[],
Amcor plc,0001748790,2020-09-23,L. Frederick Stephan,L. Frederick Stephan,"President, Amcor Flexibles North America",,,,,,,2022,[],,[],,[],[],
Amcor plc,0001748790,2020-09-23,Michael Zacka,Michael Zacka,"President, Amcor Flexibles Europe, Middle East & Africa",,,,,,,2022,[],,[],,[],[],
Amcor plc,0001748790,2019-09-24,Ronald Delia,Ronald Delia,Chief Executive Officer,,,,,,,2022,[],,[],,[],[],
Amcor plc,0001748790,2019-09-24,Michael Casamento,Michael Casamento,"Executive Vice President, Finance and Chief Financial Officer",,,,,,,2022,[],,[],,[],[],
Amcor plc,0001748790,2019-09-24,Eric Roegner,Eric Roegner,"President, Amcor Rigid Packaging",,,,,,,2022,[],,[],,[],[],
Amcor plc,0001748790,2019-09-24,L. Frederick Stephan,L. Frederick Stephan,"President, Amcor Flexibles North America",,,,,,,2022,[],,[],,[],[],
Amcor plc,0001748790,2019-09-24,Michael Zacka,Michael Zacka,"President, Amcor Flexibles Europe, Middle East & Africa",,,,,,,2022,[],,[],,[],[],
Antero Midstream Corp,0001623925,2022-04-28,Paul M. Rady,Paul M. Rady,"Chairman of the Board, Chief Executive Officer and President",68,,,,,,,[],,[],True,[],[],
Antero Midstream Corp,0001623925,2022-04-28,Brendan E. Krueger,Brendan E. Krueger,"Chief Financial Officer, Vice President – Finance and Treasurer",37,,,,,,,"[{'degree': 'Bachelor of Business Administration', 'field': 'Finance', 'university': 'University of Notre Dame', 'year': None}]",2014,"['Finance Director', 'Finance Manager', 'Treasurer']",False,[],[],
Antero Midstream Corp,0001623925,2022-04-28,Alvyn A. Schopp,Alvyn A. Schopp,Regional Senior Vice President,63,,,,,,,"[{'degree': 'B.B.A.', 'field': None, 'university': 'Drake University', 'year': None}]",2003,"['Chief Administrative Officer', 'Vice President of Accounting and Administration', 'Controller', 'Treasurer']",False,[],[],
Antero Midstream Corp,0001623925,2022-04-28,Michael N. Kennedy,Michael N. Kennedy,Director and Senior Vice President—Finance,47,,,,,,,[],,[],True,[],[],
Antero Midstream Corp,0001623925,2022-04-28,W. Patrick Ash,W. Patrick Ash,"Senior Vice President—Reserves, Planning and Midstream",43,,,,,,,"[{'degree': 'B.S.', 'field': 'Petroleum Engineering', 'university': 'Texas A&M University', 'year': None}, {'degree': 'M.B.A.', 'field': None, 'university': 'Washington University in St. Louis', 'year': None}]",2017,['Vice President of Reservoir Engineering and Planning'],False,[],[],
Antero Midstream Corp,0001623925,2021-04-28,Paul M. Rady,Paul M. Rady,"Chairman of the Board, Chief Executive Officer and President",68,,,,,,,[],,[],True,[],[],
Antero Midstream Corp,0001623925,2021-04-28,Brendan E. Krueger,Brendan E. Krueger,"Chief Financial Officer, Vice President – Finance and Treasurer",37,,,,,,,"[{'degree': 'Bachelor of Business Administration', 'field': 'Finance', 'university': 'University of Notre Dame', 'year': None}]",2014,"['Finance Director', 'Finance Manager', 'Vice President – Finance', 'Treasurer']",False,[],[],
Antero Midstream Corp,0001623925,2021-04-28,Alvyn A. Schopp,Alvyn A. Schopp,Regional Senior Vice President,63,,,,,,,"[{'degree': 'B.B.A.', 'field': None, 'university': 'Drake University', 'year': None}]",2003,"['Chief Administrative Officer', 'Vice President of Accounting and Administration', 'Controller', 'Treasurer']",False,[],[],
Antero Midstream Corp,0001623925,2021-04-28,Michael N. Kennedy,Michael N. Kennedy,Director and Senior Vice President—Finance,47,,,,,,,[],,[],True,[],[],
Antero Midstream Corp,0001623925,2021-04-28,W. Patrick Ash,W. Patrick Ash,"Senior Vice President—Reserves, Planning and Midstream",43,,,,,,,"[{'degree': 'B.S.', 'field': 'Petroleum Engineering', 'university': 'Texas A&M University', 'year': None}, {'degree': 'M.B.A.', 'field': None, 'university': 'Washington University in St. Louis', 'year': None}]",2017,['Vice President of Reservoir Engineering and Planning'],False,[],[],
Antero Midstream Corp,0001623925,2020-04-27,Paul M. Rady,Paul M. Rady,"Chairman of the Board, Chief Executive Officer and President",68,,,,,,,[],,[],True,[],[],
Antero Midstream Corp,0001623925,2020-04-27,Brendan E. Krueger,Brendan E. Krueger,"Chief Financial Officer, Vice President – Finance and Treasurer",37,,,,,,,"[{'degree': 'Bachelor of Business Administration', 'field': 'Finance', 'university': 'University of Notre Dame', 'year': None}]",2014,"['Finance Director', 'Finance Manager', 'Vice President – Finance', 'Treasurer']",False,[],[],
Antero Midstream Corp,0001623925,2020-04-27,Alvyn A. Schopp,Alvyn A. Schopp,Regional Senior Vice President,63,,,,,,,"[{'degree': 'B.B.A.', 'field': None, 'university': 'Drake University', 'year': None}]",2003,"['Chief Administrative Officer', 'Vice President of Accounting and Administration', 'Controller', 'Treasurer']",False,[],[],
Antero Midstream Corp,0001623925,2020-04-27,Michael N. Kennedy,Michael N. Kennedy,Director and Senior Vice President—Finance,47,,,,,,,[],,[],True,[],[],
Antero Midstream Corp,0001623925,2020-04-27,W. Patrick Ash,W. Patrick Ash,"Senior Vice President—Reserves, Planning and Midstream",43,,,,,,,"[{'degree': 'B.S.', 'field': 'Petroleum Engineering', 'university': 'Texas A&M University', 'year': None}, {'degree': 'M.B.A.', 'field': None, 'university': 'Washington University in St. Louis', 'year': None}]",2017,['Vice President of Reservoir Engineering and Planning'],False,[],[],
Apple Inc.,0000320193,2023-01-12,Tim Cook,Tim Cook,Chief Executive Officer,62,3000000,82994164,12000000,1425933,99420097,2022,[],2011,"['Chief Operating Officer', 'Executive Vice President, Worldwide Sales and Operations', 'Senior Vice President, Worldwide Operations']",True,[],"['Nike, Inc.']",
Apple Inc.,0000320193,2023-01-12,Luca Maestri,Luca Maestri,"Senior Vice President, Chief Financial Officer",59,1000000,22132015,4000000,19783,27151798,2022,[],2013,"['Executive Vice President, Chief Financial Officer of Xerox Corporation', 'Chief Financial Officer at Nokia Siemens Networks', 'Chief Financial Officer of GM Europe and GM Brazil']",False,[],[],
Apple Inc.,0000320193,2023-01-12,Kate Adams,Kate Adams,"Senior Vice President, General Counsel and Secretary",58,1000000,22132015,4000000,15208,27147223,2022,[],2017,"['General Counsel of Honeywell International Inc.', 'Partner at Sidley Austin LLP']",False,[],[],
Apple Inc.,0000320193,2023-01-12,Deirdre O’Brien,Deirdre O’Brien,"Senior Vice President, Retail + People",56,1000000,22132015,4000000,19783,27151798,2022,[],1988,"['Vice President, People', 'Vice President, Operations']",False,[],[],
Apple Inc.,0000320193,2023-01-12,Jeff Williams,Jeff Williams,Chief Operating Officer,59,1000000,22132015,4000000,18337,27150352,2022,[],1998,"['Senior Vice President, Operations', 'Head of Worldwide Procurement']",False,[],[],
Apple Inc.,0000320193,2022-01-06,Tim Cook,Tim Cook,Chief Executive Officer,62,3000000,82994164,12000000,1425933,99420097,2022,[],2011,"['Chief Operating Officer', 'Executive Vice President, Worldwide Sales and Operations', 'Senior Vice President, Worldwide Operations']",True,[],"['Nike, Inc.']",
Apple Inc.,0000320193,2022-01-06,Luca Maestri,Luca Maestri,"Senior Vice President, Chief Financial Officer",59,1000000,22132015,4000000,19783,27151798,2022,[],2013,"['Executive Vice President, Chief Financial Officer of Xerox Corporation', 'Chief Financial Officer at Nokia Siemens Networks', 'Chief Financial Officer of GM Europe and GM Brazil']",False,[],[],
Apple Inc.,0000320193,2022-01-06,Kate Adams,Kate Adams,"Senior Vice President, General Counsel and Secretary",58,1000000,22132015,4000000,15208,27147223,2022,[],2017,"['General Counsel of Honeywell International Inc.', 'Partner at Sidley Austin LLP']",False,[],[],
Apple Inc.,0000320193,2022-01-06,Deirdre O’Brien,Deirdre O’Brien,"Senior Vice President, Retail + People",56,1000000,22132015,4000000,19783,27151798,2022,[],1988,"['Vice President, People', 'Vice President, Operations']",False,[],[],
Apple Inc.,0000320193,2022-01-06,Jeff Williams,Jeff Williams,Chief Operating Officer,59,1000000,22132015,4000000,18337,27150352,2022,[],1998,"['Senior Vice President, Operations', 'Head of Worldwide Procurement']",False,[],[],
Apple Inc.,0000320193,2021-01-05,Tim Cook,Tim Cook,Chief Executive Officer,62,3000000,82994164,12000000,1425933,99420097,2022,[],2011,"['Chief Operating Officer', 'Executive Vice President, Worldwide Sales and Operations', 'Senior Vice President, Worldwide Operations']",True,[],"['Nike, Inc.']",
Apple Inc.,0000320193,2021-01-05,Luca Maestri,Luca Maestri,"Senior Vice President, Chief Financial Officer",59,1000000,22132015,4000000,19783,27151798,2022,[],2013,"['Executive Vice President, Chief Financial Officer of Xerox Corporation', 'Chief Financial Officer at Nokia Siemens Networks', 'Chief Financial Officer of GM Europe and GM Brazil']",False,[],[],
Apple Inc.,0000320193,2021-01-05,Kate Adams,Kate Adams,"Senior Vice President, General Counsel and Secretary",58,1000000,22132015,4000000,15208,27147223,2022,[],2017,"['General Counsel of Honeywell International Inc.', 'Partner at Sidley Austin LLP']",False,[],[],
Apple Inc.,0000320193,2021-01-05,Deirdre O’Brien,Deirdre O’Brien,"Senior Vice President, Retail + People",56,1000000,22132015,4000000,19783,27151798,2022,[],1988,"['Vice President, People', 'Vice President, Operations']",False,[],[],
Apple Inc.,0000320193,2021-01-05,Jeff Williams,Jeff Williams,Chief Operating Officer,59,1000000,22132015,4000000,18337,27150352,2022,[],1998,"['Senior Vice President, Operations', 'Head of Worldwide Procurement']",False,[],[],
Apple Inc.,0000320193,2020-01-03,Tim Cook,Tim Cook,Chief Executive Officer,62,3000000,82994164,12000000,1425933,99420097,2022,[],2011,"['Chief Operating Officer', 'Executive Vice President, Worldwide Sales and Operations', 'Senior Vice President, Worldwide Operations']",True,[],"['Nike, Inc.']",
Apple Inc.,0000320193,2020-01-03,Luca Maestri,Luca Maestri,"Senior Vice President, Chief Financial Officer",59,1000000,22132015,4000000,19783,27151798,2022,[],2013,"['Executive Vice President, Chief Financial Officer of Xerox Corporation', 'Chief Financial Officer at Nokia Siemens Networks', 'Chief Financial Officer of GM Europe and GM Brazil']",False,[],[],
Apple Inc.,0000320193,2020-01-03,Kate Adams,Kate Adams,"Senior Vice President, General Counsel and Secretary",58,1000000,22132015,4000000,15208,27147223,2022,[],2017,"['General Counsel of Honeywell International Inc.', 'Partner at Sidley Austin LLP']",False,[],[],
Apple Inc.,0000320193,2020-01-03,Deirdre O'Brien,Deirdre O'Brien,"Senior Vice President, Retail + People",56,1000000,22132015,4000000,19783,27151798,2022,[],1988,"['Vice President, People', 'Vice President, Operations']",False,[],[],
Apple Inc.,0000320193,2020-01-03,Jeff Williams,Jeff Williams,Chief Operating Officer,59,1000000,22132015,4000000,18337,27150352,2022,[],1998,"['Senior Vice President, Operations', 'Head of Worldwide Procurement']",False,[],[],
Apple Inc.,0000320193,2019-01-08,Tim Cook,Tim Cook,Chief Executive Officer,62,3000000,82994164,12000000,1425933,99420097,2022,[],2011,"['Chief Operating Officer', 'Executive Vice President, Worldwide Sales and Operations', 'Senior Vice President, Worldwide Operations']",True,[],"['Nike, Inc.']",
Apple Inc.,0000320193,2019-01-08,Luca Maestri,Luca Maestri,"Senior Vice President, Chief Financial Officer",59,1000000,22132015,4000000,19783,27151798,2022,[],2013,"['Executive Vice President, Chief Financial Officer of Xerox Corporation', 'Chief Financial Officer at Nokia Siemens Networks', 'Chief Financial Officer of GM Europe and GM Brazil']",False,[],[],
Apple Inc.,0000320193,2019-01-08,Kate Adams,Kate Adams,"Senior Vice President, General Counsel and Secretary",58,1000000,22132015,4000000,15208,27147223,2022,[],2017,"['General Counsel of Honeywell International Inc.', 'Partner at Sidley Austin LLP']",False,[],[],
Apple Inc.,0000320193,2019-01-08,Deirdre O’Brien,Deirdre O’Brien,"Senior Vice President, Retail + People",56,1000000,22132015,4000000,19783,27151798,2022,[],1988,"['Vice President, People', 'Vice President, Operations']",False,[],[],
Apple Inc.,0000320193,2019-01-08,Jeff Williams,Jeff Williams,Chief Operating Officer,59,1000000,22132015,4000000,18337,27150352,2022,[],1998,"['Senior Vice President, Operations', 'Head of Worldwide Procurement']",False,[],[],
"BIO-RAD LABORATORIES, INC.",0000012208,2022-03-30,Norman Schwartz,Norman Schwartz,"President, Chief Executive Officer and Chairman of the Board",72,,,,,,2021,[],,[],True,[],[],
"BIO-RAD LABORATORIES, INC.",0000012208,2022-03-30,Ilan Daskal,Ilan Daskal,Executive Vice President and Chief Financial Officer,56,,,,,,2021,[],2019,[],False,[],['Natus Medical Incorporated'],
"BIO-RAD LABORATORIES, INC.",0000012208,2022-03-30,Andrew J. Last,Andrew J. Last,Executive Vice President and Chief Operating Officer,62,,,,,,2021,[],2019,[],False,[],['OncoCyte Corporation'],
"BIO-RAD LABORATORIES, INC.",0000012208,2022-03-30,Dara Grantham Wright,Dara Grantham Wright,"Executive Vice President and President, Clinical Diagnostics Group",46,,,,,,2021,[],2020,[],False,[],[],
"BIO-RAD LABORATORIES, INC.",0000012208,2022-03-30,Michael Crowley,Michael Crowley,"Executive Vice President, Global Commercial Operations",60,,,,,,2021,[],1998,"['Vice President, Commercial Manager, Europe', 'Commercial Manager, Clinical Diagnostics Group, Europe', 'Division Manager of the Clinical Diagnostics Group North American Sales Organization', 'Clinical Diagnostics U.S. National Sales Manager']",False,[],[],
"BIO-RAD LABORATORIES, INC.",0000012208,2021-03-31,Norman Schwartz,Norman Schwartz,"President, Chief Executive Officer and Chairman of the Board",72,,,,,,2021,[],,[],True,[],[],
"BIO-RAD LABORATORIES, INC.",0000012208,2021-03-31,Ilan Daskal,Ilan Daskal,Executive Vice President and Chief Financial Officer,56,,,,,,2021,[],2019,"['Chief Financial Officer of Lumileds', 'Executive Vice President and Chief Financial Officer at International Rectifier Corporation']",True,[],['Natus Medical Incorporated'],
"BIO-RAD LABORATORIES, INC.",0000012208,2021-03-31,Andrew J. Last,Andrew J. Last,Executive Vice President and Chief Operating Officer,62,,,,,,2021,[],2019,"['Chief Commercial Officer of Berkeley Lights, Inc.', 'Chief Operating Officer of Intrexon Corporation', 'Executive Vice President and Chief Operating Officer at Affymetrix, Inc.']",True,[],['OncoCyte Corporation'],
"BIO-RAD LABORATORIES, INC.",0000012208,2021-03-31,Dara Grantham Wright,Dara Grantham Wright,"Executive Vice President and President, Clinical Diagnostics Group",46,,,,,,2021,[],2020,"['Vice President and General Manager, Biosciences Division, Life Science Solutions Group, Protein & Cell Analysis at Thermo Fisher Scientific Inc.', 'Senior Vice President & General Manager, eBioscience Business Unit at Affymetrix, Inc.', 'Chief Commercial Officer at Boreal Genomics, Inc.', 'Global Vice President of Strategic Marketing and Clinical Applications at Affymetrix, Inc.']",False,[],[],
"BIO-RAD LABORATORIES, INC.",0000012208,2021-03-31,Michael Crowley,Michael Crowley,"Executive Vice President, Global Commercial Operations",60,,,,,,2021,[],1998,"['Vice President, Commercial Manager, Europe', 'Commercial Manager, Clinical Diagnostics Group, Europe', 'Division Manager of the Clinical Diagnostics Group North American Sales Organization', 'Clinical Diagnostics U.S. National Sales Manager']",False,[],[],
"BIO-RAD LABORATORIES, INC.",0000012208,2020-04-01,Norman Schwartz,Norman Schwartz,"President, Chief Executive Officer and Chairman of the Board",72,,,,,,2021,[],,[],True,[],[],
