company_name,cik,filing_date,name,age,current_role,past_roles,compensation_salary,compensation_stock,compensation_bonus,compensation_other,compensation_total,compensation_year,start_date,board_member,committee_memberships,other_board_memberships,notable_achievements,education1_degree,education1_field,education1_university,education1_year,education2_degree,education2_field,education2_university,education2_year,education3_degree,education3_field,education3_university,education3_year
"Apogee Therapeutics, Inc.",0001974640,2024-04-24,"Carl Dambkowski, M.D.",39,Chief Medical Officer,"Chief Medical Officer of QED Therapeutics, Inc.; Chief Strategy Officer and EVP of Operations of Origin Biosciences, Inc.; Chief Medical Officer of Navire Pharma, Inc.; Associate at McKinsey & Company; Co-founder of Novonate, Inc.",,,,,,,September 2022,False,,"Oruka Therapeutics, Inc.",,B.A.,,Stanford University,,M.A.,,Columbia University,,M.D.,Bioengineering,Stanford University,
"Apogee Therapeutics, Inc.",0001974640,2024-04-24,Jane Pritchett Henderson,58,Chief Financial Officer,,,,,,,,,False,,,,,,,,,,,,,,,
Apple Inc.,0000320193,2023-01-12,Tim Cook,62,Chief Executive Officer,"Chief Operating Officer; Executive Vice President, Worldwide Sales and Operations; Senior Vice President, Worldwide Operations, Sales, Service and Support; Senior Vice President, Worldwide Operations",3000000,82994164,12000000,1425933,99420097,2022,1998,True,,"The National Football Foundation & College Hall of Fame, Inc.; Duke University; Malala Fund",,,,,,,,,,,,,
Apple Inc.,0000320193,2023-01-12,Luca Maestri,,"Senior Vice President, Chief Financial Officer",,1000000,22132015,4000000,19783,27151798,2022,,False,,,,,,,,,,,,,,,
Apple Inc.,0000320193,2023-01-12,Kate Adams,,"Senior Vice President, General Counsel and Secretary",,1000000,22132015,4000000,15208,27147223,2022,,False,,,,,,,,,,,,,,,
Apple Inc.,0000320193,2023-01-12,Deirdre O'Brien,,"Senior Vice President, Retail + People",,1000000,22132015,4000000,19783,27151798,2022,,False,,,,,,,,,,,,,,,
Apple Inc.,0000320193,2023-01-12,Jeff Williams,,Chief Operating Officer,,1000000,22132015,4000000,18337,27150352,2022,,False,,,,,,,,,,,,,,,
Aramark,0001584509,2022-12-23,John J. Zillmer,67,Chief Executive Officer,"Chief Executive Officer and Executive Chairman of Univar; Chairman and Chief Executive Officer of Allied Waste Industries; Vice President of Operating Systems, Regional Vice President, Area Vice President, Executive Vice President Business Dining Services, President of Business Services Group, President of International and President of Global Food and Support Services at Aramark",1300000,6650055,2486757,38008,13324828,2022,October 2019,True,,"CSX Corporation; Ecolab, Inc.",,,,,,,,,,,,,
Aramark,0001584509,2022-12-23,Thomas Ondrof,,EVP and Chief Financial Officer,,800010,1400108,874464,30044,3704630,2022,"January 7, 2020",False,,,,,,,,,,,,,,,
Aramark,0001584509,2022-12-23,Lynn B. McKee,,"EVP, Human Resources",,717746,1050081,784545,58079,3078882,2022,,False,,,,,,,,,,,,,,,
Aramark,0001584509,2022-12-23,Marc Bruno,,"COO, US Food & Facilities",,646917,1295016,599280,81870,3187283,2022,,False,,,,,,,,,,,,,,,
Aramark,0001584509,2022-12-23,Lauren Harrington,,General Counsel,,573072,1050081,557470,33531,2667250,2022,,False,,,,,,,,,,,,,,,
"Arcellx, Inc.",0001786205,2024-04-11,Rami Elghandour,45,President and Chief Executive Officer,,,,,,,2023,,True,,,,,,,,,,,,,,,
"Arcellx, Inc.",0001786205,2024-04-11,Michelle Gilson,32,Chief Financial Officer,"Managing Director at Canaccord Genuity Group Inc.; Biotech equity research analyst at Canaccord Genuity Group Inc.; Senior Associate at Jefferies LLC; Associate at Instinet LLC (Nomura Group); Associate Director at Oppenheimer & Co., Inc.; Analyst at Goldman Sachs",,,,,,2023,May 2022,False,,,,B.S.,Business Administration,University of Southern California,,,,,,,,,
"Arcellx, Inc.",0001786205,2024-04-11,Christopher Heery,44,Chief Medical Officer,"Chief Medical Officer of Precision BioSciences, Inc.; Chief Medical Officer at Bavarian Nordic A/S; Staff Clinician at National Cancer Institute (NCI); Associate Research Physician and Head of the Clinical Trials Group at NCI; Medical Oncology Fellow at NCI Medical Oncology Branch; Adjunct Appointment in the Genitourinary Malignancies Branch",,,,,,2023,April 2021,False,,,,B.A.,,Duke University,,M.D.,,East Carolina University Brody School of Medicine,,,,,
Atlas Energy Solutions Inc.,0001984060,2024-03-29,Ben M. “Bud” Brigham,64,Executive Chairman and Director,"Chief Executive Officer (August 2022 - March 2024); Founder of Brigham Exploration Company; Founder of Anthem Ventures, LLC; Co-founder of Brigham Resources Operating, LLC; Co-founder of Brigham Minerals, Inc.; Founder of Brigham Exploration Company, LLC; Co-founder of Langford Energy Partners LLC; Co-founder of Brigham Royalties",,,,,,,2017,True,,National Petroleum Council; The Bureau of Economic Geology Visiting Committee,"['Inducted into the All American Wildcatters in April 2012', 'Inducted into the Hart Energy Hall of Fame in November 2023']",Bachelor of Science,Geophysics,University of Texas at Austin,,,,,,,,,
Atlas Energy Solutions Inc.,0001984060,2024-03-29,John Turner,52,"Chief Executive Officer, President and Chief Financial Officer","Chief Financial Officer of Brigham Exploration LLC; Chief Financial Officer of Mediterranean Resources, LLC; Vice President of Brigham Exploration",,,,,,,April 2017,False,,,,Bachelor of Business Administration,,McCombs School of Business at the University of Texas at Austin,,Master of Business Administration,,McCombs School of Business at the University of Texas at Austin,,,,,
Atlas Energy Solutions Inc.,0001984060,2024-03-29,Chris Scholla,40,Chief Supply Chain Officer,Vice President of Supply Chain and Logistics,,,,,,,November 2017,False,,Permian Road Safety Coalition,,Bachelor of Science,Supply Chain & Information Systems,The Pennsylvania State University,,Master of Business Administration,Operations and Finance,College of William & Mary,,,,,
Atlas Energy Solutions Inc.,0001984060,2024-03-29,Dathan C. Voelter,52,General Counsel and Secretary,"Deputy General Counsel and Secretary; Managing Counsel and Assistant Secretary of Andeavor; Associate General Counsel and Chief Compliance Officer of Itron, Inc.; Vice President and Chief Securities, Ethics and Compliance Counsel at Freescale Semiconductor Ltd.",,,,,,,April 2019,False,,,,Bachelor of Business Administration,International Business,University of Texas at Austin,,Doctor of Jurisprudence,,Baylor University School of Law,,,,,
Atlas Energy Solutions Inc.,0001984060,2024-03-29,Jeffrey Allison,59,"Executive Vice President, Sales & Marketing","President of Allison Energy Consulting, LLC; Mid-Continent Area Vice President at Halliburton Company; Executive Account Vice President at Halliburton Company",,,,,,,May 2022,False,,Industry Advisory Board of Directors for the University of Oklahoma,,Bachelor of Science,Petroleum Engineering,Colorado School of Mines,,,,,,,,,
"AvePoint, Inc.",0001777921,2023-03-24,Xunkai Gong,60,Executive Chairman,Chairman and Co-Chief Executive Officer; Chief Executive Officer,400000,1125003,280000,0,2180003,2022,2001,True,,,,Master's,Computer Engineering,University of Chinese Academy of Sciences,,Master's,Computer Science,Southern University and Agricultural and Mechanical College at Baton Rouge,,Bachelor's,Electrical and Electronics Engineering,Dalian University of Technology,
"AvePoint, Inc.",0001777921,2023-03-24,Tianyi Jiang,48,Chief Executive Officer,Co-Chief Executive Officer,450000,1125003,252000,0,2202003,2022,2005,True,,,,Doctorate,Data Mining,New York University,,Master's,Data Mining,New York University,,Bachelor's,Electrical and Computer Engineering,Cornell University,
"AvePoint, Inc.",0001777921,2023-03-24,Brian Michael Brown,50,Chief Legal and Compliance Officer and Secretary,"Chief Operating Officer, General Counsel and Secretary",350000,322500,245000,0,1025001,2022,2005,True,,,,Bachelor's,,University of Michigan,,Juris Doctor,,Michigan State University,,,,,
"AvePoint, Inc.",0001777921,2023-03-24,James Caci,,,,315000,675000,199500,0,1414500,2022,,False,,,,,,,,,,,,,,,
"Azenta, Inc.",0000933974,2022-12-21,Stephen S. Schwartz,,President and Chief Executive Officer,,742308,3500031,412314,13725,4668377,2022,,False,,,,,,,,,,,,,,,
"Azenta, Inc.",0000933974,2022-12-21,Lindon G. Robertson,,Executive Vice President and Chief Financial Officer,,525000,1300041,264758,13725,2303523,2022,,False,,,,,,,,,,,,,,,
"Azenta, Inc.",0000933974,2022-12-21,Matthew McManus,,Former Executive Vice President and Chief Operating Officer,,343269,3310983,183294,13725,4351271,2022,2022-01-17,False,,,,,,,,,,,,,,,
"Azenta, Inc.",0000933974,2022-12-21,Jason Joseph,,"Senior Vice President, General Counsel/Corporate Secretary",,403846,750072,132631,15268,1401817,2022,,False,,,,,,,,,,,,,,,
"Azenta, Inc.",0000933974,2022-12-21,Vandana Sriram,,"Senior Vice President, Finance and Corporate Controller",,385000,574147,135909,179294,1374351,2022,2021-09-13,False,,,,,,,,,,,,,,,
"BELLRING BRANDS, INC.",0001772016,2022-12-21,Darcy Horn Davenport,50,President and Chief Executive Officer,"President of Post’s active nutrition business; President of Premier Nutrition; General Manager of Premier Nutrition; Vice President of Marketing; Director of Brand Marketing at Joint Juice, Inc.",,,,,,,2019,True,,Blentech Corporation,,,,,,,,,,,,,
"BELLRING BRANDS, INC.",0001772016,2022-12-21,"Elliot H. Stein, Jr.",,Retired Executive,"Chairman of Acertas, LLC; Chairman of Senturion Forecasting, LLC; Director of Midcap Financial Investment Corporation",,,,,,,2019,True,Audit Committee; Corporate Governance and Compensation Committee; Executive Committee,,,,,,,,,,,,,,
"BELLRING BRANDS, INC.",0001772016,2022-12-21,Thomas P. Erickson,68,"Managing Member of Thomas P. Erickson, CPA, LLC",Retired Tax Partner from KPMG; Tax Consultant,,,,,,,2019,True,,,Certified Public Accountant,,,,,,,,,,,,
"BELLRING BRANDS, INC.",0001772016,2022-12-21,Jennifer Kuperman,49,"Senior Vice President of Corporate Affairs at Chime Financial, Inc.","Head of International Corporate Affairs at Alibaba Group Holding Limited; Vice President, International Corporate Affairs at Alibaba Group Holding Limited; Senior Vice President of Corporate Brand and Reputation at Visa Inc.; Chief of Staff, Office of the Chairman and Chief Executive Officer at Visa Inc.; Head of Global Corporate Communications and Citizenship at Visa Inc.; Head of Employee and Client Communication at Visa Inc.",,,,,,,2019,True,,"Post Holdings, Inc.; Post Holdings Partnering Corporation; Kyriba Corp.",,,,,,,,,,,,,
"BELLRING BRANDS, INC.",0001772016,2022-12-21,Chonda J. Nwamu,51,"Senior Vice President, General Counsel and Secretary for Ameren Corporation","Vice President and Deputy General Counsel of Ameren Services; Managing Counsel and Senior Director at Pacific Gas and Electric Company; Regulatory Counsel at Pacific Gas and Electric Company; Private Practice at Hoyle, Morris & Kerr LLP",,,,,,,2021,True,,Ameren Services; Ameren Missouri; Ameren Transmission Company of Illinois,,,,,,,,,,,,,
"BERRY GLOBAL GROUP, INC.",0001378992,2023-01-06,Thomas E. Salmon,59,Chairman and Chief Executive Officer,President and Chief Operating Officer; President of Consumer Packaging Division; President of Rigid Closed Top Division; President of Engineered Materials Division,1208289,4361776,909220,343729,10423007,2022,2017,True,,Old National Bank,,Bachelor of Business Administration,,Saint Bonaventure University,,,,,,,,,
"BERRY GLOBAL GROUP, INC.",0001378992,2023-01-06,Mark W. Miles,,Chief Financial Officer,,638230,1211569,319792,68349,3237934,2022,,False,,,,,,,,,,,,,,,
"BERRY GLOBAL GROUP, INC.",0001378992,2023-01-06,Curt L. Begle,,"President — Health, Hygiene & Specialties Division",,637845,757271,319286,57694,2397104,2022,,False,,,,,,,,,,,,,,,
"BERRY GLOBAL GROUP, INC.",0001378992,2023-01-06,Jean-Marc Galvez,,President — Consumer Packaging International Division,,733501,908676,305239,97032,2794439,2022,,False,,,,,,,,,,,,,,,
"BERRY GLOBAL GROUP, INC.",0001378992,2023-01-06,Jason K. Greene,,"Executive Vice President, Chief Legal Officer and Secretary",,540615,757271,272228,50362,2245485,2022,,False,,,,,,,,,,,,,,,
Blackstone Secured Lending Fund,0001736035,2024-07-11,Mr. Marshall,,"Global Head of Private Credit Strategies, Chairperson of the Board, Co-CEO of BXSL and Blackstone Private Credit Fund",Fixed income research and business development at RBC; Co-founder and CFO of a microchip verification software company,,,,,,,2005,True,Audit Committee; Nominating and Governance Committee (Chair); Compensation Committee,,,,,,,,,,,,,,
Blackstone Secured Lending Fund,0001736035,2024-07-11,Ms. Collins,,Independent Finance Professional,"CEO of SmartFinance LLC; Senior Managing Director and Head of Asset-Backed Securities Research at Bear Stearns & Co., Inc.; Managing Director and Head of Asset-Backed Securities and Structured Products at Credit Suisse",,,,,,,,True,,KKR Financial (2006-2014); BCRED (Board of Trustees),Consistently recognized as a 'First Team All American Research Analyst',Plan II Honors Program,,University of Texas at Austin,,,,,,,,,
Broadcom Inc.,0001730168,2023-02-17,Hock E. Tan,,President and Chief Executive Officer,,1200000,53913448,5400000,93523,60606971,2022,,False,,,,,,,,,,,,,,,
Broadcom Inc.,0001730168,2023-02-17,Kirsten M. Spears,,Chief Financial Officer and Chief Accounting Officer,,403969,0,641854,18300,1064124,2022,,False,,,,,,,,,,,,,,,
Broadcom Inc.,0001730168,2023-02-17,Mark D. Brazeal,,Chief Legal and Corporate Affairs Officer,Chief Legal Officer,504962,12474520,885701,18300,13883483,2022,,False,,,,,,,,,,,,,,,
Broadcom Inc.,0001730168,2023-02-17,"Charlie B. Kawwas, Ph.D.",,"President, Semiconductor Solutions Group",,706946,0,1589720,18300,2314967,2022,,False,,,,,,,,,,,,,,,
Broadcom Inc.,0001730168,2023-02-17,"Thomas H. Krause, Jr.",,"Former President, Broadcom Software Group",,498965,0,0,18300,517265,2022,,False,,,,,,,,,,,,,,,
CENTRAL GARDEN & PET CO,0000887733,2022-12-28,William E. Brown,81,Chairman of the Board,Chief Executive Officer,1600459,1328843,,,2929302,2022,1980,True,,,Founded the Company and has extensive management and leadership experience.,,,,,,,,,,,,
CENTRAL GARDEN & PET CO,0000887733,2022-12-28,Courtnee Chun,48,"Chief Portfolio Officer for Liberty Media Corporation, Qurate Retail, Inc., Liberty TripAdvisor Holdings, Inc., Liberty Broadband Corporation and GCI Liberty",VP Opportunity Development at Level 3; Chief Financial Officer at New Global Telecom,,7880,,,7880,2022,2021,True,,"HSN, Inc.; Expedia Group, Inc.; LendingTree, Inc.","Broad-based experience in eCommerce, media, technology, and direct-to-consumer marketing.",,,,,,,,,,,,
CENTRAL GARDEN & PET CO,0000887733,2022-12-28,Timothy P. Cofer,54,Chief Executive Officer,,975000,2300000,,,3275000,2022,2019,True,,,Joined the Company as CEO after an extensive search conducted by the Succession Committee of the Board.,,,,,,,,,,,,
CIENA CORP,0000936395,2023-02-16,Gary B. Smith,,President and CEO,,1000000,11005780,0,12200,12017980,2022,,False,,,,,,,,,,,,,,,
CIENA CORP,0000936395,2023-02-16,"James E. Moylan, Jr.",,Senior Vice President and Chief Financial Officer,,575000,2676675,0,20431,3272106,2022,,False,,,,,,,,,,,,,,,
CIENA CORP,0000936395,2023-02-16,Scott A. McFeely,,"Senior Vice President, Global Products and Services",,546154,2804194,0,19385,3369733,2022,,False,,,,,,,,,,,,,,,
CIENA CORP,0000936395,2023-02-16,Jason M. Phipps,,"Senior Vice President, Global Customer Engagement",,515385,2804194,0,20573,3340152,2022,,False,,,,,,,,,,,,,,,
CIENA CORP,0000936395,2023-02-16,David M. Rothenstein,,"Senior Vice President, General Counsel and Secretary",,515000,2294362,0,12200,2821562,2022,,False,,,,,,,,,,,,,,,
CLARIVATE PLC,0001764046,2023-06-27,Jaspal Chahal,,Chief Legal Officer and General Counsel,,,,,,,,,False,,,,,,,,,,,,,,,
CLARIVATE PLC,0001764046,2023-06-27,Jonathan Gear,,,,,,,,,,,False,,,,,,,,,,,,,,,
CLARIVATE PLC,0001764046,2023-06-27,Andrew Snyder,,,,,,,,,,,False,,,,,,,,,,,,,,,
CLARIVATE PLC,0001764046,2023-06-27,Jonathan Collins,,,,,,,,,,,False,,,,,,,,,,,,,,,
COHEN & STEERS INFRASTRUCTURE FUND INC,0001275617,2024-03-06,Joseph M. Harvey,,Vice President and Chair of the Board,,,,,,,,,True,,,,,,,,,,,,,,,
COHEN & STEERS INFRASTRUCTURE FUND INC,0001275617,2024-03-06,Dana A. DeVivo,42,Secretary and Chief Legal Officer,Senior Vice President; Vice President,,,,,,,2013,False,,,,,,,,,,,,,,,
COHEN & STEERS INFRASTRUCTURE FUND INC,0001275617,2024-03-06,James Giallanza,57,President and Chief Executive Officer,Executive Vice President; Senior Vice President,,,,,,,2006,False,,,,,,,,,,,,,,,
COHEN & STEERS INFRASTRUCTURE FUND INC,0001275617,2024-03-06,Albert Laskaj,46,Treasurer and Chief Financial Officer,Senior Vice President; Vice President,,,,,,,2015,False,,,,,,,,,,,,,,,
COHEN & STEERS INFRASTRUCTURE FUND INC,0001275617,2024-03-06,Stephen Murphy,57,Chief Compliance Officer and Vice President,Senior Vice President,,,,,,,2019,False,,,,,,,,,,,,,,,
COHEN & STEERS INFRASTRUCTURE FUND INC,0001275617,2024-03-06,Ed Delk,55,Deputy Chief Compliance Officer and Vice President,General Counsel and Chief Compliance Officer,,,,,,,2021,False,,,,,,,,,,,,,,,
COHEN & STEERS INFRASTRUCTURE FUND INC,0001275617,2024-03-06,Yigal D. Jhirad,59,Vice President,Senior Vice President,,,,,,,2007,False,,,,,,,,,,,,,,,
COHEN & STEERS INFRASTRUCTURE FUND INC,0001275617,2024-03-06,Jason Yablon,44,Executive Vice President,Executive Vice President; Senior Vice President,,,,,,,2004,False,,,,,,,,,,,,,,,
COHEN & STEERS INFRASTRUCTURE FUND INC,0001275617,2024-03-06,William F. Scapell,56,Vice President,Executive Vice President; Senior Vice President,,,,,,,2003,False,,,,,,,,,,,,,,,
COHEN & STEERS INFRASTRUCTURE FUND INC,0001275617,2024-03-06,Elaine Zaharis-Nikas,50,Vice President,Senior Vice President; Vice President,,,,,,,2003,False,,,,,,,,,,,,,,,
COHEN & STEERS INFRASTRUCTURE FUND INC,0001275617,2024-03-06,Jerry Dorost,42,Vice President,Senior Vice President; Vice President,,,,,,,2010,False,,,,,,,,,,,,,,,
COHEN & STEERS INFRASTRUCTURE FUND INC,0001275617,2024-03-06,Douglas Bond,64,Vice President,Executive Vice President,,,,,,,2004,False,,,,,,,,,,,,,,,
COHEN & STEERS INFRASTRUCTURE FUND INC,0001275617,2024-03-06,Benjamin Morton,49,Vice President,Executive Vice President; Senior Vice President; Vice President,,,,,,,2003,False,,,,,,,,,,,,,,,
COHEN & STEERS INFRASTRUCTURE FUND INC,0001275617,2024-03-06,Tyler Rosenlicht,38,Vice President,Senior Vice President; Vice President,,,,,,,2012,False,,,,,,,,,,,,,,,
COHEN & STEERS INFRASTRUCTURE FUND INC,0001275617,2024-03-06,Thuy Quynh Dang,45,Vice President,Vice President,,,,,,,2011,False,,,,,,,,,,,,,,,
COHEN & STEERS INFRASTRUCTURE FUND INC,0001275617,2024-03-06,Mathew Kirschner,44,Vice President,Senior Vice President; Vice President,,,,,,,2004,False,,,,,,,,,,,,,,,
"COOPER COMPANIES, INC.",0000711404,2023-01-30,Albert G. White III,,President & Chief Executive Officer,,925000,4625058,1544750,16000,11735964,2022,,,,,,,,,,,,,,,,,
"COOPER COMPANIES, INC.",0000711404,2023-01-30,Brian G. Andrews,,"Executive Vice President, Chief Financial Officer & Treasurer",,541667,924849,506567,16000,2914132,2022,,,,,,,,,,,,,,,,,
"COOPER COMPANIES, INC.",0000711404,2023-01-30,Daniel G. McBride,,Executive Vice President & Chief Operating Officer,,720886,1250191,796435,16000,4033539,2022,,,,,,,,,,,,,,,,,
"COOPER COMPANIES, INC.",0000711404,2023-01-30,Holly R. Sheffield,,"President, CooperSurgical, Inc.",,545869,950032,468755,15850,2930497,2022,,,,,,,,,,,,,,,,,
"COOPER COMPANIES, INC.",0000711404,2023-01-30,Gerard H. Warner III,,"President, CooperVision, Inc.",,437671,875296,391595,32511,2612056,2022,,,,,,,,,,,,,,,,,
"Clearwater Analytics Holdings, Inc.",0001866368,2023-04-28,Sandeep Sahai,,Chief Executive Officer,,653400,,784080,277802,,2022,,True,,,,,,,,,,,,,,,
"Clearwater Analytics Holdings, Inc.",0001866368,2023-04-28,Jim Cox,,,,425000,,400000,115391,,2022,,False,,,,,,,,,,,,,,,
"Clearwater Analytics Holdings, Inc.",0001866368,2023-04-28,Souvik Das,,,,375000,,150000,25845,,2022,,False,,,,,,,,,,,,,,,
"Clearwater Analytics Holdings, Inc.",0001866368,2023-04-28,Scott Erickson,,Chief Revenue Officer,,425000,,290000,134349,,2022,,False,,,,,,,,,,,,,,,
DEERE & CO,0000315189,2023-01-11,John C. May,53,"Chairman, CEO, and President",,,,,,,2023,2019,True,Executive,,,,,,,,,,,,,,
DEERE & CO,0000315189,2023-01-11,Gregory R. Page,71,"Chairman, Corteva, Inc.",,,,,,,2023,2013,True,Audit Review; Corporate Governance,,,,,,,,,,,,,,
DEERE & CO,0000315189,2023-01-11,Sherry M. Smith,61,"Former EVP and CFO, SuperValu Inc.",,,,,,,2023,2011,True,Audit Review; Corporate Governance,,,,,,,,,,,,,,
DEERE & CO,0000315189,2023-01-11,Sheila G. Talton,70,"President and CEO, Gray Matter Analytics",,,,,,,2023,2015,True,Corporate Governance,OGE Energy Corp.; Sysco Corporation,,,,,,,,,,,,,
DNP SELECT INCOME FUND INC,0000806628,2024-01-24,Donald C. Burke,63,Director,"President and Chief Executive Officer, BlackRock U.S. Funds; Managing Director, BlackRock Inc.; Managing Director, Merrill Lynch Investment Managers",0,0,0,0,453000,2023,2014,True,Audit Committee (Chair); Executive Committee,Avista Corp.; Goldman Sachs Fund Complex; BlackRock Luxembourg and Cayman Funds,,,,,,,,,,,,,
